Start Date,1/1/00,,,,,,,,,,,,,,,,,,,,,,,
End Date,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
,USDKRW Curncy,,,,,,USDJPY Curncy,,,,,,USDCNY Curncy,,,,,,USDEUR Curncy,,,,,
,Last Trade/Last Price,Volume,RSI 14 Day,RSI 30 Day,RSI 9 Day,RSI 3 Day,Last Trade/Last Price,Volume,RSI 14 Day,RSI 30 Day,RSI 9 Day,RSI 3 Day,Last Trade/Last Price,Volume,RSI 14 Day,RSI 30 Day,RSI 9 Day,RSI 3 Day,Last Trade/Last Price,Volume,RSI 14 Day,RSI 30 Day,RSI 9 Day,RSI 3 Day
Dates,LAST_PRICE,PX_VOLUME,RSI_14D,RSI_30D,RSI_9D,RSI_3D,LAST_PRICE,PX_VOLUME,RSI_14D,RSI_30D,RSI_9D,RSI_3D,LAST_PRICE,PX_VOLUME,RSI_14D,RSI_30D,RSI_9D,RSI_3D,LAST_PRICE,PX_VOLUME,RSI_14D,RSI_30D,RSI_9D,RSI_3D
4月6日2000年,1119.43,#N/A N/A,46.78,44.87,48.2,46.68,104.77,#N/A N/A,42.13,45.38,41.58,44.43,8.2795,#N/A N/A,62.3134,56.7822,66.3144,81.8551,1.0434,#N/A N/A,55.6519,56.8227,55.2208,55.8179
4月7日2000年,1107.1,#N/A N/A,33.3,39,27.81,8.46,105.37,#N/A N/A,45.83,47.06,47.39,63.6,8.2795,#N/A N/A,62.3134,56.7822,66.3144,81.8551,1.0468,#N/A N/A,57.6377,57.7188,58.4255,67.9167
4月10日2000年,1109.8,#N/A N/A,37.54,40.76,34.62,27.86,106.44,#N/A N/A,51.76,49.9,56.13,81.07,8.2798,#N/A N/A,65.8476,58.7137,71.2909,91.0829,1.0387,#N/A N/A,51.6987,54.9101,49.0227,34.3261
4月11日2000年,1109.75,#N/A N/A,37.5,40.73,34.55,27.7,106.92,#N/A N/A,54.19,51.12,59.53,85.69,8.2791,#N/A N/A,53.29,52.9966,51.3696,32.7641,1.0425,#N/A N/A,54.0887,55.9504,53.0136,51.282
4月12日2000年,1108.25,#N/A N/A,36.02,40.05,32.41,21.92,105.78,#N/A N/A,48.02,48.24,49.33,45.83,8.2796,#N/A N/A,59.2656,56.1515,60.2871,60.1215,1.0428,#N/A N/A,54.2811,56.0332,53.3381,52.7273
4月13日2000年,1106.5,#N/A N/A,34.33,39.25,29.96,16.06,105.88,#N/A N/A,48.57,48.51,50.17,48.96,8.2794,#N/A N/A,56.1702,54.6341,55.6915,48.324,1.05,#N/A N/A,58.7478,57.9946,60.6707,77.1411
4月14日2000年,1111.1,#N/A N/A,42.05,42.37,42.73,59.13,104.74,#N/A N/A,42.96,45.76,41.35,24.65,8.2794,#N/A N/A,56.1702,54.6341,55.6915,48.324,1.0393,#N/A N/A,50.804,54.2725,48.0474,35.8588
4月17日2000年,1113.7,#N/A N/A,45.92,44.05,48.68,71.52,104.54,#N/A N/A,42.04,45.29,39.96,21.8,8.2794,#N/A N/A,56.1702,54.6341,55.6915,48.324,1.0496,#N/A N/A,56.8523,57.0194,57.6008,63.8177
4月18日2000年,1110.26,#N/A N/A,41.93,42.36,42.16,44.66,104.74,#N/A N/A,43.34,45.86,42.15,33.35,8.279,#N/A N/A,49.6875,51.5497,45.7588,20.7887,1.0579,#N/A N/A,61.012,59.0691,63.659,76.3031
4月19日2000年,1109.4,#N/A N/A,40.97,41.94,40.63,39.14,104.82,#N/A N/A,43.89,46.1,43.08,38.78,8.2793,#N/A N/A,53.9776,53.5828,52.8536,51.7308,1.0636,#N/A N/A,63.6068,60.4104,67.2719,82.5175
